SPECIES_CD,FAMILY,SCINAME,COMNAME,LC,LM,WLEN_A,WLEN_B
ABU SAXA,Pomacentridae,Abudefduf saxatilis,Sergeant Major,NA,NA,1.64E-05,3.142
ACA ASPE,Chaenopsidae,Acanthemblemaria aspera,Roughhead Blenny,NA,NA,8.40E-06,2.962
ACA BAHI,Acanthuridae,Acanthurus bahianus,Ocean Surgeon,NA,NA,2.50E-05,2.9752
